image1.txt,0.4216,0.4996,0.0091,0.0148
image2.txt,0.4233,0.4812,0.0083,0.0158
image3.txt,0.4249,0.4632,0.0088,0.0148
image4.txt,0.4259,0.4551,0.0096,0.0149
image5.txt,0.4277,0.4402,0.0094,0.0148
image6.txt,0.4291,0.4267,0.0087,0.0146
image7.txt,0.4309,0.4149,0.0090,0.0147
image8.txt,0.4327,0.4043,0.0086,0.0146
image9.txt,0.4335,0.3991,0.0084,0.0142
image9.txt,0.3435,0.6741,0.0054,0.0183
image10.txt,0.4349,0.3909,0.0081,0.0138
image10.txt,0.3492,0.6453,0.0065,0.0198
image11.txt,0.4365,0.3838,0.0084,0.0128
image12.txt,0.4382,0.3790,0.0095,0.0130
image13.txt,0.4398,0.3758,0.0093,0.0144
image14.txt,0.4407,0.3751,0.0090,0.0140
image15.txt,0.4421,0.3739,0.0084,0.0131
image16.txt,0.4439,0.3745,0.0087,0.0135
image17.txt,0.4456,0.3759,0.0091,0.0133
image18.txt,0.4469,0.3793,0.0095,0.0137
image19.txt,0.4478,0.3811,0.0089,0.0125
image20.txt,0.4496,0.3870,0.0086,0.0133
image21.txt,0.4511,0.3937,0.0090,0.0135
image22.txt,0.4526,0.4030,0.0090,0.0136
image23.txt,0.4540,0.4135,0.0088,0.0141
image24.txt,0.4575,0.4066,0.0085,0.0152
image25.txt,0.4698,0.3764,0.0082,0.0167
image26.txt,0.4802,0.3506,0.0078,0.0120
image27.txt,0.4894,0.3304,0.0080,0.0131
image28.txt,0.4977,0.3148,0.0088,0.0127
image29.txt,0.5012,0.3073,0.0075,0.0126
image30.txt,0.5080,0.2944,0.0062,0.0091
image31.txt,0.5148,0.2860,0.0062,0.0100
image32.txt,0.5197,0.2783,0.0061,0.0078
image33.txt,0.5267,0.2719,0.0050,0.0087
image34.txt,0.5289,0.2712,0.0061,0.0090
image35.txt,0.5324,0.2686,0.0065,0.0096
image36.txt,0.5375,0.2675,0.0059,0.0095
image37.txt,0.5404,0.2443,0.0072,0.0169
image38.txt,0.5431,0.2100,0.0064,0.0138
image39.txt,0.5443,0.1918,0.0072,0.0145
image40.txt,0.5466,0.1627,0.0066,0.0127
image42.txt,0.5505,0.1100,0.0060,0.0102
image45.txt,0.5548,0.0596,0.0057,0.0094
image46.txt,0.5565,0.0439,0.0058,0.0100
image47.txt,0.5581,0.0297,0.0064,0.0097
image48.txt,0.5597,0.0175,0.0061,0.0093
image49.txt,0.5607,0.0125,0.0062,0.0093
image52.txt,0.5666,0.0027,0.0059,0.0050
image53.txt,0.5688,0.0042,0.0057,0.0078
image54.txt,0.5701,0.0056,0.0056,0.0084
image55.txt,0.5727,0.0103,0.0058,0.0082
image56.txt,0.5755,0.0149,0.0056,0.0090
image62.txt,0.5894,0.0564,0.0060,0.0093
image63.txt,0.5914,0.0666,0.0059,0.0090
image64.txt,0.5929,0.0734,0.0047,0.0085
image66.txt,0.5970,0.0981,0.0060,0.0100
image67.txt,0.5984,0.1111,0.0067,0.0118
image68.txt,0.6008,0.1272,0.0069,0.0124
image69.txt,0.6019,0.1338,0.0065,0.0097
image70.txt,0.6036,0.1507,0.0062,0.0099
image71.txt,0.6049,0.1696,0.0062,0.0127
image72.txt,0.6065,0.1877,0.0064,0.0135
image73.txt,0.6079,0.2071,0.0072,0.0125
image74.txt,0.6085,0.2177,0.0070,0.0124
image75.txt,0.6099,0.2376,0.0074,0.0129
image76.txt,0.6112,0.2611,0.0069,0.0134
image77.txt,0.6120,0.2853,0.0069,0.0144
image78.txt,0.6131,0.3109,0.0074,0.0125
image79.txt,0.6136,0.3235,0.0079,0.0148
image80.txt,0.6145,0.3493,0.0069,0.0144
image81.txt,0.6161,0.3785,0.0062,0.0139
image82.txt,0.6165,0.4068,0.0069,0.0151
image83.txt,0.6173,0.4369,0.0073,0.0159
image84.txt,0.6176,0.4530,0.0067,0.0149
image85.txt,0.6182,0.4842,0.0077,0.0155
image86.txt,0.6192,0.4859,0.0079,0.0119
image87.txt,0.6197,0.4816,0.0077,0.0121
image88.txt,0.6204,0.4783,0.0079,0.0120
image89.txt,0.6205,0.4772,0.0079,0.0114
image90.txt,0.6209,0.4759,0.0081,0.0121
image91.txt,0.6211,0.4759,0.0085,0.0124
image92.txt,0.6216,0.4772,0.0086,0.0120
